Jop title,Company name,Location,Skills,links
Data Analysis Instructor (Excel - Power BI - Tableau),EpsilonAI,"Nasr City, Cairo, Egypt ",Full timePart timeEntry Level · 1+ Yrs of Exp · Analysis · business · Business Intelligence · Data Analysis · Computer Science · Power BI · SQL · Tableau · BI · Data,https://wuzzuf.net/jobs/p/fXC3ifPeMJGA-Data-Analysis-Instructor-Excel---Power-BI---Tableau-EpsilonAI-Cairo-Egypt?o=1&l=sp&t=sj&a=data analysis|search-v3|hpb
Data Analyst,Expand Cart,"6th of October, Giza, Egypt ",Full timeExperienced · 2 - 4 Yrs of Exp · Analysis · Analyst · Communication · Computer Science · Data · Data Analysis · Information Technology (IT) · Software · Data Analyst · Communication skills,https://wuzzuf.net/jobs/p/cYsmUn9kdr5c-Data-Analyst-Expand-Cart-Giza-Egypt?o=2&l=sp&t=sj&a=data analysis|search-v3|hpb
Senior Data Analyst,Evolvice GmbH,"Maadi, Cairo, Egypt ",Full timeExperienced · 3 - 5 Yrs of Exp · Analysis · Analyst · Data Analysis · Data Analyst · English · Computer Science · Information Technology (IT) · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology,https://wuzzuf.net/jobs/p/p1IHeCTyJsIT-Senior-Data-Analyst-Evolvice-GmbH-Cairo-Egypt?o=3&l=sp&t=sj&a=data analysis|search-v3|hpb
Sales Data Analyst Specialist,Masary,"Cairo, Egypt ",Full timeExperienced · 2 - 3 Yrs of Exp · Microsoft Access · Data Analysis · Communication · Data · Sales · Analysis · Computer Science · IT/Software Development · Analyst/Research,https://wuzzuf.net/jobs/p/MEwOsbOpEray-Sales-Data-Analyst-Specialist-Masary-Cairo-Egypt?o=4&l=sp&t=sj&a=data analysis|search-v3|hpb
Data Entry Specialist,Confidential -,"New Cairo, Cairo, Egypt ",Full timeExperienced · 2 - 5 Yrs of Exp · males_only · SAP · Speed · Typing speed · Microsoft Office · Administration · Data Entry · Typing · Analysis · English · Administration,https://wuzzuf.net/jobs/p/pFtBViMsqofT-Data-Entry-Specialist-Cairo-Egypt?o=5&l=sp&t=sj&a=data analysis|search-v3|hpb
Segmentation & Data Mining Supervisor,Etisalat Misr,"New Cairo, Cairo, Egypt ",Full timeExperienced · 3 - 5 Yrs of Exp · data mining · analysis · python · Tableau · excel · power query · IT/Software Development · Engineering - Telecom/Technology,https://wuzzuf.net/jobs/p/SAoFTINHTUwf-Segmentation-Data-Mining-Supervisor-Etisalat-Misr-Cairo-Egypt?o=6&l=sp&t=sj&a=data analysis|search-v3|hpb
Data Analyst,Mantrac,"10th of Ramadan City, Cairo, Egypt ",Full timeEntry Level · 0 - 3 Yrs of Exp · Data Analysis · Analysis · Analyst · Data · Microsoft Excel · Tableau · Power Pivot · Microsoft Power BI · Computer Engineering · Computer Science,https://wuzzuf.net/jobs/p/1nBrvVn4e483-Data-Analyst-Mantrac-Cairo-Egypt?o=7&l=sp&t=sj&a=data analysis|search-v3|hpb
Sales Data Analyst Specialist,Faragalla Food Industries,"Obour City, Cairo, Egypt ",Full timeExperienced · 2 - 4 Yrs of Exp · Data Analysis · Sales · Analysis · English · Sales Analysis · Analyst/Research · Sales/Retail,https://wuzzuf.net/jobs/p/nidWEIYhBg1X-Sales-Data-Analyst-Specialist-Faragalla-Food-Industries-Cairo-Egypt?o=8&l=sp&t=sj&a=data analysis|search-v3|hpb
Data Engineer,Confidential -,"Riyadh, Saudi Arabia ",Full timeExperienced · 2 - 4 Yrs of Exp · Software Development · Computer Engineering · Analysis · Database · Engineering · Information Technology (IT) · Computer Science · IT/Software Development · Engineering - Telecom/Technology,https://wuzzuf.net/jobs/p/RtBTsdEH2z5R-Data-Engineer-Riyadh-Saudi-Arabia?o=9&l=sp&t=sj&a=data analysis|search-v3|hpb
Data Analyst,LinkMisr,"10th of Ramadan City, Cairo, Egypt ",Full timeExperienced · 3 - 5 Yrs of Exp · Data Analysis · Data Analyst · SQL · Computer Science · Information Technology (IT) · Microsoft Excel · Analysis · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology,https://wuzzuf.net/jobs/p/K0uahuD5IqaH-Data-Analyst-LinkMisr-Cairo-Egypt?o=10&l=sp&t=sj&a=data analysis|search-v3|hpb
